Fan,Refrigerator,AirConditioner,Television,Monitor,Month,City,Company,TariffRate,ElectricityBill
19,23,1,13,1,8,Gurgaon,Reliance Power,8.3,4374.1
23,22,2,22,1,7,Chennai,Reliance Energy,8.8,7101.6
18,23,3,19,1,6,Chennai,JSW Energy Ltd.,8.8,6784.8
22,22,1,4,1,12,Shimla,L&T Transmission & Distribution,7.7,3826.9
8,17,3,21,1,1,New Delhi,Adani Power Ltd.,8.5,3281
10,18,0,4,1,8,Chennai,Sunil Hitech Eng,8.8,2032.8
16,23,0,6,1,12,Shimla,Guj Ind Power,7.7,3773
7,19,2,17,1,2,Hyderabad,Unitech Power Transmission Ltd.,8.4,4032
22,23,2,8,1,4,Shimla,Orient Green,7.7,3903.9
17,22,1,6,1,8,Faridabad,Sunil Hitech Eng,8.1,4082.4
23,23,1,20,1,2,Mumbai,Jyoti Structure,9.2,5428
21,22,0,22,1,3,Shimla,Sterlite Power Transmission Ltd,7.7,3749.9
5,22,3,20,1,4,Hyderabad,NHPC,8.4,3679.2
22,22,1,16,1,1,Dahej,Sterlite Power Transmission Ltd,7.6,5046.4
16,22,1,11,1,3,Gurgaon,SJVN Ltd.,8.3,5162.6
19,22,0,20,12,9,Mumbai,Guj Ind Power,9.2,5198
11,22,2,19,1,11,Nagpur,Indowind Energy,8.9,3738
6,17,0,21,1,10,Gurgaon,CESC,8.3,4374.1
11,22,3,17,1,6,Ratnagiri,L&T Transmission & Distribution,7.4,3559.4
17,23,1,4,1,3,Navi Mumbai,NTPC Pvt. Ltd.,9.3,3106.2
20,22,1,4,1,10,Ratnagiri,Guj Ind Power,7.4,2493.8
5,18,3,13,1,10,Dahej,CESC,7.6,2971.6
20,23,2,21,12,4,Navi Mumbai,Unitech Power Transmission Ltd.,9.3,7254
17,22,0,15,1,5,New Delhi,Bonfiglioli Transmission Pvt. Ltd.,8.5,4462.5
9,23,0,7,1,4,Mumbai,Guj Ind Power,9.2,2612.8
22,22,1,10,1,10,Faridabad,Neueon Towers / Sujana Towers Ltd.,8.1,4463.1
20,22,3,20,1,3,New Delhi,GE T&D India Limited,8.5,6026.5
16,23,0,21,1,8,Vadodara,Tata Power Company Ltd.,7.8,3432
8,20,1,7,7,6,New Delhi,KEC International,8.5,4207.5
20,23,1,20,1,6,Dahej,TransRail Lighting,7.6,3754.4
23,23,1,4,1,6,Vadodara,TransRail Lighting,7.8,3322.8
18,23,3,4,1,9,Pune,L&T Transmission & Distribution,9.1,3758.3
12,22,1,5,12,9,Hyderabad,Sunil Hitech Eng,8.4,3267.6
18,22,0,10,1,11,Navi Mumbai,L&T Transmission & Distribution,9.3,4296.6
21,23,1,9,1,9,Kolkata,TransRail Lighting,8.7,3836.7
14,22,1,14,1,4,Faridabad,NHPC,8.1,3580.2
18,22,2,17,12,2,Kolkata,Jaiprakash Power,8.7,4654.5
10,19,0,11,1,1,Ratnagiri,NTPC Pvt. Ltd.,7.4,2101.6
17,22,0,8,1,3,Vadodara,Torrent Power Ltd.,7.8,3471
8,18,0,21,1,8,Shimla,Power Grid Corp,7.7,3765.3
19,22,0,16,12,6,Pune,Indowind Energy,9.1,6251.7
18,22,1,22,1,8,Dahej,Neueon Towers / Sujana Towers Ltd.,7.6,3724
14,23,0,9,12,4,Hyderabad,Adani Power Ltd.,8.4,3847.2
15,22,2,11,12,1,Navi Mumbai,Bonfiglioli Transmission Pvt. Ltd.,9.3,5821.8
18,23,0,13,1,6,Mumbai,Tata Power Company Ltd.,9.2,4213.6
15,22,1,21,1,10,Pune,Orient Green,9.1,5032.3
6,18,0,18,1,11,Shimla,JSW Energy Ltd.,7.7,3765.3
18,22,3,7,1,11,Faridabad,Orient Green,8.1,4876.2
10,19,1,16,1,11,Faridabad,Optibelt Power Transmission India Private Limited,8.1,3215.7
22,23,3,8,1,6,Vadodara,Jyoti Structure,7.8,3377.4
18,23,2,13,12,3,Noida,Power Grid Corp,8.2,5772.8
17,23,0,14,1,4,New Delhi,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),8.5,3893
16,22,0,7,1,3,Mumbai,NTPC Pvt. Ltd.,9.2,3882.4
9,22,0,5,7,6,Ahmedabad,SJVN Ltd.,7.9,2883.5
23,22,0,9,12,12,Navi Mumbai,JSW Energy Ltd.,9.3,5291.7
23,22,3,6,1,2,Pune,Power Grid Corp,9.1,3922.1
12,23,1,12,12,4,Nagpur,SJVN Ltd.,8.9,5242.1
12,23,2,19,1,6,Vadodara,Kalpataru Power,7.8,4765.8
19,22,3,8,1,4,Dahej,GE T&D India Limited,7.6,3108.4
14,23,2,7,1,12,Ratnagiri,NTPC Pvt. Ltd.,7.4,4321.6
14,22,0,19,12,2,Chennai,JSW Energy Ltd.,8.8,4118.4
21,22,2,13,1,6,Chennai,NTPC Pvt. Ltd.,8.8,4540.8
11,22,1,12,1,12,Gurgaon,GE T&D India Limited,8.3,4672.9
10,21,0,20,1,3,Noida,Kalpataru Power,8.2,3485
6,19,0,9,1,11,Ratnagiri,TransRail Lighting,7.4,2738
5,18,1,10,1,5,Nagpur,NHPC,8.9,3079.4
20,23,2,5,1,7,Pune,Kalpataru Power,9.1,4104.1
17,23,0,22,1,4,Noida,GE T&D India Limited,8.2,5215.2
21,22,0,5,1,10,Vadodara,Guj Ind Power,7.8,4251
11,23,0,21,1,3,Hyderabad,Neueon Towers / Sujana Towers Ltd.,8.4,4292.4
5,18,0,19,1,1,Gurgaon,Ringfeder Power Transmission India Pvt. Ltd.,8.3,3411.3
6,23,1,16,1,1,Dahej,SJVN Ltd.,7.6,4514.4
22,22,2,11,1,11,Kolkata,Ringfeder Power Transmission India Pvt. Ltd.,8.7,5220
10,21,1,8,1,2,Pune,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),9.1,4204.2
10,21,2,6,1,3,Vadodara,TransRail Lighting,7.8,2917.2
7,20,1,13,1,6,Kolkata,Optibelt Power Transmission India Private Limited,8.7,3584.4
8,22,0,19,7,10,Vadodara,Sunil Hitech Eng,7.8,3962.4
23,22,2,17,1,11,Hyderabad,Sunil Hitech Eng,8.4,4174.8
22,22,1,15,1,5,Vadodara,Optibelt Power Transmission India Private Limited,7.8,4937.4
10,22,3,21,1,10,Vadodara,JSW Energy Ltd.,7.8,3736.2
18,22,1,21,12,11,Nagpur,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",8.9,6737.3
19,23,0,14,1,1,Dahej,Neueon Towers / Sujana Towers Ltd.,7.6,3207.2
21,22,0,4,1,7,Chennai,CESC,8.8,3977.6
5,17,2,22,1,7,Chennai,Tata Power Company Ltd.,8.8,5051.2
13,22,2,16,1,12,Faridabad,TransRail Lighting,8.1,4414.5
23,22,1,15,1,2,Mumbai,Adani Power Ltd.,9.2,4931.2
21,22,3,17,1,11,Shimla,Indowind Energy,7.7,3942.4
15,22,2,22,1,5,Mumbai,Kalpataru Power,9.2,5832.8
7,21,2,3,1,1,Faridabad,Unitech Power Transmission Ltd.,8.1,3466.8
8,22,1,13,1,7,Noida,Orient Green,8.2,3558.8
23,22,0,7,1,12,Kolkata,Unitech Power Transmission Ltd.,8.7,5002.5
19,23,1,4,1,11,Mumbai,JSW Energy Ltd.,9.2,3643.2
9,20,2,3,1,9,Nagpur,NTPC Pvt. Ltd.,8.9,3684.6
8,18,3,16,7,10,Faridabad,NTPC Pvt. Ltd.,8.1,3596.4
13,22,2,9,12,7,Mumbai,Bonfiglioli Transmission Pvt. Ltd.,9.2,4912.8
20,22,3,3,1,6,Hyderabad,Unitech Power Transmission Ltd.,8.4,4754.4
20,23,2,13,1,6,Ratnagiri,Indowind Energy,7.4,3293
9,22,3,5,1,1,Faridabad,NTPC Pvt. Ltd.,8.1,3248.1
7,22,1,4,1,4,Mumbai,Tata Power Company Ltd.,9.2,4222.8
12,23,1,7,12,2,Dahej,Power Grid Corp,7.6,4461.2
13,22,3,4,1,2,Shimla,Ringfeder Power Transmission India Pvt. Ltd.,7.7,3903.9
14,22,3,15,1,4,Ratnagiri,Ringfeder Power Transmission India Pvt. Ltd.,7.4,5091.2
10,22,0,4,1,11,Pune,KEC International,9.1,3021.2
16,22,1,21,12,9,New Delhi,KEC International,8.5,6205
15,23,2,10,12,7,Dahej,KEC International,7.6,4233.2
6,23,2,3,1,7,Gurgaon,Orient Green,8.3,2622.8
21,22,3,4,12,6,Ratnagiri,KEC International,7.4,4980.2
11,22,3,21,1,6,Gurgaon,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",8.3,4946.8
11,23,1,7,1,10,Vadodara,Orient Green,7.8,4235.4
10,18,0,12,1,2,Mumbai,Orient Green,9.2,1941.2
9,21,3,13,1,12,Dahej,Optibelt Power Transmission India Private Limited,7.6,2910.8
13,23,2,3,1,11,Noida,Adani Power Ltd.,8.2,3066.8
16,23,0,9,1,12,Dahej,Reliance Power,7.6,2857.6
12,23,3,9,1,12,Chennai,Jyoti Structure,8.8,3555.2
5,23,1,20,7,7,New Delhi,Power Grid Corp,8.5,5941.5
18,22,0,3,1,1,Ratnagiri,Torrent Power Ltd.,7.4,2264.4
17,22,2,22,1,9,New Delhi,Jyoti Structure,8.5,5202
19,23,3,16,1,6,Shimla,Orient Green,7.7,3942.4
8,19,0,14,1,2,Pune,Kalpataru Power,9.1,2975.7
6,21,1,15,7,1,Dahej,Indowind Energy,7.6,2948.8
11,22,0,10,1,10,Gurgaon,Power Grid Corp,8.3,4423.9
17,22,1,17,1,9,Kolkata,Sterlite Power Transmission Ltd,8.7,4567.5
12,23,2,13,12,1,Chennai,Jaiprakash Power,8.8,4787.2
9,20,3,8,1,12,Shimla,Ringfeder Power Transmission India Pvt. Ltd.,7.7,3218.6
11,22,2,19,1,3,Chennai,KEC International,8.8,4048
19,23,1,19,1,4,Ahmedabad,KEC International,7.9,5569.5
19,22,2,5,12,6,Ahmedabad,Jaiprakash Power,7.9,4092.2
13,22,1,6,12,4,Chennai,SJVN Ltd.,8.8,5121.6
23,23,3,14,12,9,Hyderabad,Power Grid Corp,8.4,5140.8
13,23,2,7,1,5,Ratnagiri,Reliance Energy,7.4,3781.4
15,22,0,9,1,1,Ahmedabad,L&T Transmission & Distribution,7.9,3033.6
7,21,1,22,1,7,Chennai,Sterlite Power Transmission Ltd,8.8,4268
11,22,3,4,1,6,Pune,Kalpataru Power,9.1,3094
22,22,2,18,1,4,Nagpur,Guj Ind Power,8.9,5874
12,23,2,7,1,5,Nagpur,TransRail Lighting,8.9,4512.3
5,23,2,13,1,1,Gurgaon,KEC International,8.3,4938.5
7,19,3,18,1,5,Faridabad,Ringfeder Power Transmission India Pvt. Ltd.,8.1,3296.7
22,22,2,12,1,12,Gurgaon,Ringfeder Power Transmission India Pvt. Ltd.,8.3,5818.3
21,23,3,12,1,4,Noida,NHPC,8.2,5600.6
18,23,1,9,1,7,Chennai,Orient Green,8.8,4945.6
14,22,1,14,1,7,Gurgaon,Torrent Power Ltd.,8.3,3187.2
14,22,3,8,12,7,Mumbai,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,9.2,5483.2
15,23,0,22,1,6,Gurgaon,Tata Power Company Ltd.,8.3,5079.6
17,23,3,18,12,3,Mumbai,CESC,9.2,6863.2
18,23,1,17,1,2,Nagpur,Jaiprakash Power,8.9,5811.7
9,23,1,3,1,1,Ahmedabad,Tata Power Company Ltd.,7.9,3096.8
14,22,2,13,1,6,Gurgaon,Reliance Power,8.3,4067
11,22,2,9,1,2,Noida,Reliance Energy,8.2,2919.2
21,23,1,11,12,10,Noida,JSW Energy Ltd.,8.2,5453
9,21,1,11,1,5,Vadodara,NLC India,7.8,4188.6
10,19,3,9,1,7,Faridabad,Neueon Towers / Sujana Towers Ltd.,8.1,3086.1
15,23,3,19,1,6,Ahmedabad,Neueon Towers / Sujana Towers Ltd.,7.9,5861.8
15,22,0,7,1,6,Faridabad,TransRail Lighting,8.1,4365.9
21,23,1,4,1,1,New Delhi,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,8.5,3850.5
22,23,0,18,1,6,Pune,Neueon Towers / Sujana Towers Ltd.,9.1,5287.1
9,23,3,15,1,4,Navi Mumbai,Jyoti Structure,9.3,6184.5
21,22,0,19,1,3,Dahej,Power Grid Corp,7.6,5122.4
12,22,2,18,1,6,Noida,Tata Power Company Ltd.,8.2,5149.6
21,23,3,4,1,7,Vadodara,NLC India,7.8,4531.8
14,22,1,17,1,12,Hyderabad,Jyoti Structure,8.4,5040
11,23,0,21,12,11,Kolkata,Jyoti Structure,8.7,4993.8
15,22,2,6,1,8,Nagpur,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),8.9,5242.1
18,23,1,18,12,3,Dahej,Jyoti Structure,7.6,5700
5,17,3,14,1,10,Vadodara,NLC India,7.8,4290
5,21,2,15,1,7,Dahej,CESC,7.6,2758.8
8,17,3,4,1,9,Shimla,TransRail Lighting,7.7,3133.9
16,23,2,21,1,6,Ratnagiri,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",7.4,3907.2
12,22,2,10,1,4,Hyderabad,Kalpataru Power,8.4,4687.2
22,22,1,16,1,1,Pune,NTPC Pvt. Ltd.,9.1,6360.9
16,22,0,16,1,7,Gurgaon,Torrent Power Ltd.,8.3,3917.6
23,22,3,5,1,7,Dahej,SJVN Ltd.,7.6,3610
7,21,3,20,1,2,Chennai,CESC,8.8,4576
14,22,3,13,1,3,Faridabad,Jaiprakash Power,8.1,5175.9
11,23,1,19,1,6,Ratnagiri,Kalpataru Power,7.4,3751.8
18,22,0,18,1,3,Hyderabad,Ringfeder Power Transmission India Pvt. Ltd.,8.4,4208.4
12,22,0,13,1,7,Vadodara,Unitech Power Transmission Ltd.,7.8,3876.6
18,23,3,20,1,11,Chennai,Jaiprakash Power,8.8,5262.4
7,17,0,8,1,8,Dahej,Tata Power Company Ltd.,7.6,1770.8
7,23,0,14,1,4,Gurgaon,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,8.3,4589.9
21,22,1,11,1,7,Pune,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,9.1,3812.9
16,23,2,3,1,11,Mumbai,Unitech Power Transmission Ltd.,9.2,2888.8
17,23,1,18,1,3,Ahmedabad,Ringfeder Power Transmission India Pvt. Ltd.,7.9,3894.7
11,22,0,9,1,7,Faridabad,Kalpataru Power,8.1,2397.6
19,23,1,4,1,3,Kolkata,Optibelt Power Transmission India Private Limited,8.7,5185.2
18,23,0,4,1,9,Chennai,Unitech Power Transmission Ltd.,8.8,3863.2
11,23,3,16,1,2,Navi Mumbai,Indowind Energy,9.3,3636.3
23,23,2,9,1,6,Pune,Reliance Energy,9.1,5050.5
14,22,3,3,12,7,Shimla,Indowind Energy,7.7,4920.3
17,22,0,19,1,3,Nagpur,Jyoti Structure,8.9,5802.8
22,23,0,21,1,9,Shimla,Guj Ind Power,7.7,4435.2
5,22,1,22,7,2,Ahmedabad,NHPC,7.9,5071.8
15,23,2,17,1,6,Noida,Jyoti Structure,8.2,4854.4
22,22,0,9,1,4,Chennai,NLC India,8.8,4400
18,22,0,13,12,11,Shimla,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,7.7,4188.8
9,19,2,3,1,11,New Delhi,CESC,8.5,4046
12,23,1,20,1,3,Nagpur,Orient Green,8.9,5135.3
22,22,3,20,1,7,Navi Mumbai,Jyoti Structure,9.3,6909.9
6,21,0,5,1,11,Pune,Guj Ind Power,9.1,2921.1
15,22,1,22,1,2,Ratnagiri,Jaiprakash Power,7.4,4321.6
16,23,0,15,1,3,New Delhi,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,8.5,5491
15,23,1,3,1,10,Chennai,Sterlite Power Transmission Ltd,8.8,4488
12,23,3,9,1,3,Noida,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,8.2,4083.6
8,21,2,18,1,2,Mumbai,GE T&D India Limited,9.2,3192.4
21,22,3,5,12,6,Ahmedabad,Guj Ind Power,7.9,5822.3
16,22,1,15,12,3,Mumbai,Sterlite Power Transmission Ltd,9.2,5888
21,22,3,6,1,11,Faridabad,Sterlite Power Transmission Ltd,8.1,5224.5
14,22,0,8,1,6,Kolkata,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),8.7,4741.5
20,23,1,8,12,12,Navi Mumbai,CESC,9.3,4984.8
14,23,2,7,1,12,Faridabad,Sterlite Power Transmission Ltd,8.1,4414.5
15,23,1,6,1,7,Hyderabad,Sterlite Power Transmission Ltd,8.4,3175.2
6,21,0,13,1,9,Ahmedabad,JSW Energy Ltd.,7.9,2899.3
14,22,2,9,1,2,New Delhi,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,8.5,4454
16,22,0,10,1,12,Noida,GE T&D India Limited,8.2,3083.2
21,22,1,20,12,11,Nagpur,Power Grid Corp,8.9,4957.3
11,22,1,17,12,7,Chennai,Bonfiglioli Transmission Pvt. Ltd.,8.8,6626.4
20,23,0,11,1,11,Chennai,Jyoti Structure,8.8,4576
14,22,1,20,1,1,New Delhi,Unitech Power Transmission Ltd.,8.5,4768.5
6,20,0,10,1,9,Kolkata,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",8.7,2470.8
19,23,1,11,1,4,Noida,SJVN Ltd.,8.2,4633
15,23,1,19,1,8,Pune,Sterlite Power Transmission Ltd,9.1,4340.7
18,22,1,12,12,12,Nagpur,Adani Power Ltd.,8.9,6052
23,23,2,7,1,6,Mumbai,CESC,9.2,4784
13,23,1,20,1,9,Nagpur,Power Grid Corp,8.9,5722.7
7,17,1,12,1,10,Nagpur,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,8.9,4343.2
20,23,1,6,1,5,Shimla,Sterlite Power Transmission Ltd,7.7,3180.1
17,22,1,8,1,12,Pune,Indowind Energy,9.1,4650.1
10,20,3,12,1,1,Gurgaon,Sterlite Power Transmission Ltd,8.3,3212.1
8,18,1,5,1,10,Hyderabad,Guj Ind Power,8.4,3393.6
7,18,0,11,1,9,Ahmedabad,Unitech Power Transmission Ltd.,7.9,1722.2
23,22,1,3,12,5,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,8.4,3872.4
21,23,1,21,1,1,Chennai,Power Grid Corp,8.8,6582.4
20,22,3,16,12,8,New Delhi,NTPC Pvt. Ltd.,8.5,5984
11,22,0,15,12,7,Noida,TransRail Lighting,8.2,5264.4
15,23,3,3,1,9,Shimla,Bonfiglioli Transmission Pvt. Ltd.,7.7,4265.8
6,19,3,20,7,11,Navi Mumbai,NHPC,9.3,4622.1
12,23,0,6,1,6,Vadodara,Unitech Power Transmission Ltd.,7.8,2628.6
12,23,2,3,1,7,Chennai,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,8.8,4127.2
10,19,1,16,1,11,Nagpur,Torrent Power Ltd.,8.9,3640.1
5,20,0,3,1,12,Mumbai,Jaiprakash Power,9.2,1895.2
8,23,1,19,1,6,Faridabad,KEC International,8.1,3944.7
23,23,3,11,1,5,Pune,Power Grid Corp,9.1,4850.3
15,22,3,6,1,9,New Delhi,Tata Power Company Ltd.,8.5,3519
9,20,1,22,1,8,Navi Mumbai,NLC India,9.3,5226.6
11,23,1,6,1,12,Ratnagiri,Ringfeder Power Transmission India Pvt. Ltd.,7.4,2841.6
14,22,1,12,12,2,Kolkata,Torrent Power Ltd.,8.7,5507.1
13,22,0,10,12,1,Nagpur,SJVN Ltd.,8.9,3996.1
23,22,1,8,1,5,Pune,Power Grid Corp,9.1,4395.3
23,23,2,7,12,6,Hyderabad,JSW Energy Ltd.,8.4,4561.2
22,22,1,12,1,2,Kolkata,NLC India,8.7,4906.8
23,22,2,14,1,4,Pune,NTPC Pvt. Ltd.,9.1,4823
9,23,0,17,1,10,Kolkata,Kalpataru Power,8.7,3540.9
17,23,0,18,12,3,Ahmedabad,TransRail Lighting,7.9,5087.6
19,22,2,5,1,2,Hyderabad,JSW Energy Ltd.,8.4,4737.6
23,23,2,11,1,7,Noida,Kalpataru Power,8.2,4444.4
16,22,3,15,12,1,Navi Mumbai,Adani Power Ltd.,9.3,7691.1
15,23,0,3,1,11,Pune,L&T Transmission & Distribution,9.1,2284.1
18,23,1,14,1,8,Ahmedabad,Power Grid Corp,7.9,5150.8
11,23,3,6,1,11,Faridabad,Power Grid Corp,8.1,4487.4
5,22,2,16,1,3,Navi Mumbai,Power Grid Corp,9.3,3701.4
19,23,2,20,1,12,Mumbai,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,9.2,5593.6
17,22,1,10,1,4,Vadodara,Kalpataru Power,7.8,4336.8
15,22,1,5,1,2,Mumbai,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",9.2,3827.2
19,22,3,3,12,9,Navi Mumbai,Indowind Energy,9.3,5226.6
8,22,3,18,7,9,Hyderabad,Optibelt Power Transmission India Private Limited,8.4,4468.8
14,22,1,4,12,8,Hyderabad,Neueon Towers / Sujana Towers Ltd.,8.4,4242
11,23,1,20,1,2,New Delhi,Sunil Hitech Eng,8.5,4717.5
14,22,0,18,1,4,Dahej,NHPC,7.6,3838
15,22,1,8,1,1,Ratnagiri,Adani Power Ltd.,7.4,4225.4
21,22,1,3,1,3,Mumbai,NTPC Pvt. Ltd.,9.2,3726
16,22,1,20,12,4,Nagpur,Reliance Energy,8.9,7057.7
15,23,2,18,1,4,Gurgaon,Tata Power Company Ltd.,8.3,4448.8
19,22,2,16,1,4,New Delhi,Indowind Energy,8.5,5950
6,23,2,11,1,8,Ratnagiri,Tata Power Company Ltd.,7.4,2952.6
6,22,3,21,1,10,Ratnagiri,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,7.4,5298.4
14,22,0,17,1,12,Pune,TransRail Lighting,9.1,5223.4
8,22,1,3,1,5,Pune,L&T Transmission & Distribution,9.1,3012.1
8,19,2,10,1,8,Chennai,TransRail Lighting,8.8,3581.6
23,22,3,10,1,7,Vadodara,Guj Ind Power,7.8,4531.8
16,23,3,10,1,2,Pune,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",9.1,5378.1
21,23,0,5,1,1,Pune,SJVN Ltd.,9.1,4459
20,22,2,6,1,11,Dahej,NLC India,7.6,3062.8
19,22,0,8,1,9,Gurgaon,Orient Green,8.3,3212.1
10,18,3,15,1,7,Navi Mumbai,Ringfeder Power Transmission India Pvt. Ltd.,9.3,4770.9
10,21,3,11,1,6,Dahej,Neueon Towers / Sujana Towers Ltd.,7.6,3914
20,22,0,20,1,5,Chennai,KEC International,8.8,6080.8
13,22,1,11,1,11,Chennai,Ringfeder Power Transmission India Pvt. Ltd.,8.8,4787.2
17,22,3,19,1,9,Hyderabad,Optibelt Power Transmission India Private Limited,8.4,5888.4
13,23,1,16,1,8,Shimla,L&T Transmission & Distribution,7.7,3719.1
6,20,0,18,1,2,Nagpur,Reliance Energy,8.9,2981.5
13,22,3,19,1,11,Pune,Jyoti Structure,9.1,4459
18,22,0,13,1,8,Hyderabad,Kalpataru Power,8.4,4561.2
8,18,2,5,1,3,Ahmedabad,Kalpataru Power,7.9,2291
14,22,1,22,1,3,Faridabad,Jaiprakash Power,8.1,4584.6
17,23,2,20,1,8,Gurgaon,Torrent Power Ltd.,8.3,5718.7
15,23,2,13,1,2,Nagpur,Orient Green,8.9,5170.9
6,17,3,13,1,12,Nagpur,GE T&D India Limited,8.9,2945.9
9,20,0,17,1,9,Shimla,Jyoti Structure,7.7,4181.1
11,22,0,5,1,7,Hyderabad,Kalpataru Power,8.4,2889.6
21,22,2,19,12,5,Noida,NLC India,8.2,5879.4
7,17,0,15,1,2,Ratnagiri,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,7.4,3004.4
19,23,3,16,1,12,Ahmedabad,NLC India,7.9,4131.7
6,23,0,12,1,1,Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),9.2,2953.2
20,23,2,16,12,3,Chennai,Guj Ind Power,8.8,6626.4
23,23,0,20,1,11,Ratnagiri,NHPC,7.4,3744.4
22,22,2,11,1,1,Dahej,NTPC Pvt. Ltd.,7.6,3594.8
22,23,0,7,12,3,Pune,L&T Transmission & Distribution,9.1,6133.4
14,23,0,22,1,1,Ratnagiri,Power Grid Corp,7.4,3322.6
22,23,0,6,1,11,Gurgaon,Reliance Power,8.3,4548.4
7,18,2,19,1,3,Navi Mumbai,TransRail Lighting,9.3,4519.8
21,23,3,22,1,12,Mumbai,Bonfiglioli Transmission Pvt. Ltd.,9.2,6688.4
11,22,3,18,1,7,Faridabad,Jyoti Structure,8.1,4673.7
14,23,1,13,12,5,Navi Mumbai,Guj Ind Power,9.3,4919.7
18,22,0,8,1,11,Chennai,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",8.8,3335.2
9,19,3,3,1,3,Mumbai,Bonfiglioli Transmission Pvt. Ltd.,9.2,3247.6
15,23,1,18,12,9,Nagpur,L&T Transmission & Distribution,8.9,6550.4
23,22,3,18,1,4,Faridabad,Sterlite Power Transmission Ltd,8.1,5289.3
14,23,3,16,12,2,Kolkata,Reliance Power,8.7,4645.8
14,22,1,10,1,2,Gurgaon,Sterlite Power Transmission Ltd,8.3,3560.7
13,22,1,12,1,10,Gurgaon,KEC International,8.3,4324.3
7,20,1,21,1,10,Noida,Jaiprakash Power,8.2,3681.8
15,22,2,6,1,7,Hyderabad,Orient Green,8.4,4779.6
10,19,0,9,7,6,Pune,Sterlite Power Transmission Ltd,9.1,3357.9
23,22,0,12,1,12,Faridabad,Ringfeder Power Transmission India Pvt. Ltd.,8.1,3377.7
5,21,3,16,7,3,Shimla,Orient Green,7.7,5251.4
16,23,1,20,12,1,Chennai,NLC India,8.8,6740.8
13,22,1,5,1,2,Vadodara,Guj Ind Power,7.8,2324.4
23,23,1,15,1,11,Navi Mumbai,Tata Power Company Ltd.,9.3,5496.3
15,23,1,10,1,6,Kolkata,Torrent Power Ltd.,8.7,4985.1
7,23,1,5,7,3,Kolkata,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",8.7,4941.6
13,23,1,4,1,12,Dahej,Sterlite Power Transmission Ltd,7.6,3898.8
12,22,1,11,1,10,Chennai,L&T Transmission & Distribution,8.8,3071.2
12,22,3,22,1,4,Ahmedabad,Sunil Hitech Eng,7.9,4732.1
13,23,3,14,1,11,Hyderabad,KEC International,8.4,5754
17,22,1,9,1,2,Hyderabad,Jyoti Structure,8.4,2637.6
19,23,1,8,1,10,Mumbai,Kalpataru Power,9.2,5106
19,22,3,14,12,10,Navi Mumbai,Ringfeder Power Transmission India Pvt. Ltd.,9.3,6435.6
8,22,2,9,7,7,Mumbai,NLC India,9.2,3974.4
5,18,0,7,7,10,Dahej,Adani Power Ltd.,7.6,2333.2
9,19,2,17,1,4,Nagpur,Orient Green,8.9,3382
14,22,3,3,1,9,Noida,Reliance Energy,8.2,3558.8
23,22,3,9,1,12,Nagpur,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),8.9,4316.5
10,23,1,22,1,6,Kolkata,Sterlite Power Transmission Ltd,8.7,4915.5
7,17,1,15,1,9,Noida,Torrent Power Ltd.,8.2,2501
20,22,0,5,1,12,Navi Mumbai,Indowind Energy,9.3,3441
7,21,1,12,1,10,Vadodara,CESC,7.8,2425.8
10,17,2,22,7,8,New Delhi,Torrent Power Ltd.,8.5,4658
13,22,3,7,1,5,New Delhi,Sterlite Power Transmission Ltd,8.5,3765.5
9,22,3,14,1,10,Dahej,Tata Power Company Ltd.,7.6,5099.6
15,23,0,5,12,5,Nagpur,Bonfiglioli Transmission Pvt. Ltd.,8.9,5197.6
21,22,2,14,1,6,Vadodara,Reliance Power,7.8,5015.4
15,23,2,15,12,7,Ahmedabad,NTPC Pvt. Ltd.,7.9,4250.2
7,21,1,16,7,11,Chennai,Reliance Power,8.8,3722.4
